has_sleep_data;efficiency;com.samsung.health.sleep.start_time;com.samsung.health.sleep.end_time
0;84.0;2020-08-05 21:54:00.000;2020-08-06 00:19:00.000
0;87.0;2020-08-12 05:28:00.000;2020-08-12 06:50:00.000
0;86.0;2020-08-11 05:30:00.000;2020-08-11 07:23:00.000
1;86.0;2020-08-24 22:31:00.000;2020-08-25 00:01:00.000
0;80.0;2020-08-21 04:38:00.000;2020-08-21 06:44:00.000
0;88.0;2020-08-27 02:02:00.000;2020-08-27 03:09:00.000
0;86.0;2020-08-26 21:11:00.000;2020-08-27 01:18:00.000
0;91.0;2020-08-15 04:41:00.000;2020-08-15 07:00:00.000
0;89.0;2020-08-08 01:21:00.000;2020-08-08 05:15:00.000
0;79.0;2020-08-19 04:23:00.000;2020-08-19 06:30:00.000
0;85.0;2020-08-16 06:04:00.000;2020-08-16 07:08:00.000
0;85.0;2020-08-25 22:38:00.000;2020-08-25 23:59:00.000
0;87.0;2020-08-29 20:46:00.000;2020-08-30 00:45:00.000
0;88.0;2020-08-30 01:11:00.000;2020-08-30 03:09:00.000
0;82.0;2020-08-31 20:54:00.000;2020-08-31 22:04:00.000
0;83.0;2020-08-21 21:29:00.000;2020-08-22 02:59:00.000
0;81.0;2020-08-31 22:18:00.000;2020-09-01 00:20:00.000
0;80.0;2020-08-27 23:55:00.000;2020-08-28 03:08:00.000
0;90.0;2020-08-19 21:15:00.000;2020-08-20 02:38:00.000
0;92.0;2020-09-02 21:13:00.000;2020-09-02 23:52:00.000
0;89.0;2020-08-26 00:10:00.000;2020-08-26 03:09:00.000
0;83.0;2020-08-10 23:23:00.000;2020-08-11 00:50:00.000
1;84.0;2020-08-22 04:36:00.000;2020-08-22 07:16:00.000
0;90.0;2020-08-30 10:17:00.000;2020-08-30 11:22:00.000
0;81.0;2020-09-02 04:44:00.000;2020-09-02 06:14:00.000
0;90.0;2020-09-05 04:51:00.000;2020-09-05 06:23:00.000
0;88.0;2020-08-13 23:04:00.000;2020-08-14 02:46:00.000
0;95.0;2020-09-01 21:03:00.000;2020-09-01 22:17:00.000
0;88.0;2020-08-28 04:38:00.000;2020-08-28 06:25:00.000
0;79.0;2020-08-26 05:17:00.000;2020-08-26 06:30:00.000
0;93.0;2020-09-04 05:01:00.000;2020-09-04 06:33:00.000
0;86.0;2020-09-03 04:59:00.000;2020-09-03 06:14:00.000
0;86.0;2020-08-17 21:21:00.000;2020-08-18 02:49:00.000
0;88.0;2020-09-07 04:59:00.000;2020-09-07 06:26:00.000
0;85.0;2020-09-07 20:43:00.000;2020-09-08 02:55:00.000
0;82.0;2020-08-29 04:56:00.000;2020-08-29 07:26:00.000
0;92.0;2020-08-30 20:52:00.000;2020-08-30 23:26:00.000
1;88.0;2020-08-21 02:46:00.000;2020-08-21 03:04:00.000
0;84.0;2020-09-22 00:44:00.000;2020-09-22 03:44:00.000
0;90.0;2020-09-22 05:18:00.000;2020-09-22 06:19:00.000
0;90.0;2020-08-30 23:37:00.000;2020-08-31 03:09:00.000
0;91.0;2020-08-25 04:29:00.000;2020-08-25 05:14:00.000
0;95.0;2020-09-01 22:48:00.000;2020-09-02 00:17:00.000
0;93.0;2020-09-24 20:15:00.000;2020-09-24 21:28:00.000
0;83.0;2020-08-27 04:28:00.000;2020-08-27 06:15:00.000
0;87.0;2020-08-30 04:39:00.000;2020-08-30 05:59:00.000
